Year-Month,Date Interest,Days On Market
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,6/2/2016,
,6/9/2016,
,6/16/2016,
,6/23/2016,
,6/30/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,7/7/2016,
,7/14/2016,
,7/21/2016,
,7/28/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,8/4/2016,
,8/11/2016,
,8/18/2016,
,8/24/2016,
,8/25/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,9/1/2016,
,9/8/2016,
,9/15/2016,
,9/22/2016,
,9/29/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
,10/27/2016,
,10/6/2016,
,10/13/2016,
,10/20/2016,
